model,language,pass_rate_with_changes,pass_rate_no_changes,total_count_with_changes,total_count_no_changes
meta/llama-2-13b-chat,c,74.21052631578948,66.07929515418502,190,227
meta/llama-2-13b-chat,cpp,79.32489451476793,76.83397683397683,237,259
meta/llama-2-13b-chat,csharp,71.19565217391305,68.93617021276596,184,235
meta/llama-2-13b-chat,java,88.4297520661157,58.51528384279476,121,229
meta/llama-2-13b-chat,javascript,78.15533980582524,74.29718875502009,206,249
meta/llama-2-13b-chat,php,82.25806451612902,69.75308641975309,124,162
meta/llama-2-13b-chat,python,91.44981412639405,78.91737891737891,269,351
meta/llama-2-13b-chat,rust,83.21167883211679,73.52941176470588,137,204
llama-3-8b-instruct,c,54.73684210526316,48.89867841409692,190,227
llama-3-8b-instruct,cpp,73.41772151898735,69.88416988416988,237,259
llama-3-8b-instruct,csharp,67.93478260869566,68.93617021276596,184,235
llama-3-8b-instruct,java,83.47107438016529,50.21834061135371,121,229
llama-3-8b-instruct,javascript,72.33009708737865,68.67469879518072,206,249
llama-3-8b-instruct,php,76.61290322580645,64.19753086419753,124,162
llama-3-8b-instruct,python,88.84758364312268,73.78917378917379,269,351
llama-3-8b-instruct,rust,76.64233576642336,62.745098039215684,137,204
gpt-4o,c,58.94736842105263,49.77973568281938,190,227
gpt-4o,cpp,80.59071729957806,75.67567567567568,237,259
gpt-4o,csharp,65.76086956521739,69.7872340425532,184,235
gpt-4o,java,72.72727272727273,43.23144104803494,121,229
gpt-4o,javascript,59.70873786407767,54.21686746987952,206,249
gpt-4o,php,74.19354838709677,59.25925925925926,124,162
gpt-4o,python,85.13011152416357,69.23076923076923,269,351
gpt-4o,rust,67.88321167883211,52.94117647058824,137,204
llama-3-70b-instruct,c,58.421052631578945,51.10132158590308,190,227
llama-3-70b-instruct,cpp,77.21518987341773,72.97297297297297,237,259
llama-3-70b-instruct,csharp,67.93478260869566,69.7872340425532,184,235
llama-3-70b-instruct,java,79.3388429752066,45.85152838427947,121,229
llama-3-70b-instruct,javascript,61.16504854368932,54.21686746987952,206,249
llama-3-70b-instruct,php,77.41935483870968,61.7283950617284,124,162
llama-3-70b-instruct,python,86.2453531598513,70.94017094017093,269,351
llama-3-70b-instruct,rust,79.56204379562044,64.70588235294117,137,204
meta/llama-2-7b-chat,c,78.42105263157895,70.48458149779735,190,227
meta/llama-2-7b-chat,cpp,80.59071729957806,78.76447876447877,237,259
meta/llama-2-7b-chat,csharp,76.08695652173913,74.8936170212766,184,235
meta/llama-2-7b-chat,java,95.04132231404958,70.74235807860262,121,229
meta/llama-2-7b-chat,javascript,78.64077669902913,75.50200803212851,206,249
meta/llama-2-7b-chat,php,87.09677419354838,77.77777777777777,124,162
meta/llama-2-7b-chat,python,88.47583643122677,77.20797720797721,269,351
meta/llama-2-7b-chat,rust,89.05109489051095,81.86274509803921,137,204
meta/llama-2-70b-chat,c,72.10526315789474,65.63876651982379,190,227
meta/llama-2-70b-chat,cpp,80.59071729957806,77.22007722007723,237,259
meta/llama-2-70b-chat,csharp,72.82608695652175,70.2127659574468,184,235
meta/llama-2-70b-chat,java,88.4297520661157,54.148471615720524,121,229
meta/llama-2-70b-chat,javascript,72.81553398058253,69.87951807228916,206,249
meta/llama-2-70b-chat,php,81.45161290322581,69.75308641975309,124,162
meta/llama-2-70b-chat,python,89.21933085501858,76.92307692307692,269,351
meta/llama-2-70b-chat,rust,84.67153284671532,72.05882352941177,137,204
gpt-4,c,60.0,50.66079295154185,190,227
gpt-4,cpp,76.37130801687763,72.97297297297297,237,259
gpt-4,csharp,71.19565217391305,71.06382978723404,184,235
gpt-4,java,79.3388429752066,48.47161572052402,121,229
gpt-4,javascript,60.67961165048544,54.21686746987952,206,249
gpt-4,php,70.16129032258064,58.0246913580247,124,162
gpt-4,python,86.61710037174721,70.94017094017093,269,351
gpt-4,rust,75.18248175182481,59.80392156862745,137,204
gpt-3.5-turbo,c,58.94736842105263,50.66079295154185,190,227
gpt-3.5-turbo,cpp,73.83966244725738,69.88416988416988,237,259
gpt-3.5-turbo,csharp,67.3913043478261,67.2340425531915,184,235
gpt-3.5-turbo,java,86.77685950413223,49.34497816593887,121,229
gpt-3.5-turbo,javascript,64.5631067961165,57.028112449799195,206,249
gpt-3.5-turbo,php,80.64516129032258,64.81481481481481,124,162
gpt-3.5-turbo,python,84.38661710037175,69.8005698005698,269,351
gpt-3.5-turbo,rust,82.48175182481752,65.68627450980392,137,204
